,Ticker,Timestamp,SDG_Mean_ADJ,SDG_STD_Mean,SDG_News_Volume_Mean
998545,MS,2014-07-17,-3.1962960141753336,2.2415162395241293,61.764705882352935
998728,MS,2015-01-16,-2.704631720810585,2.463102325524141,53.470588235294116
998739,MS,2015-01-27,-3.697234909464714,3.6177212402741934,44.529411764705884
998817,MS,2015-04-15,-2.7970904414988578,2.576470640866553,263.88235294117646
999157,MS,2016-03-20,-2.9536209657192565,2.1726397160573896,124.47058823529413
1000090,MS,2018-10-09,-3.636946973006652,3.0471494335455285,324.2352941176472
1000607,MS,2020-03-09,-2.868661896383431,2.59534250276792,119.23529411764706
1000632,MS,2020-04-03,-2.7131726983078392,2.5638971658751766,112.70588235294115
1000642,MS,2020-04-13,-3.043665878098877,2.4495806116811507,168.58823529411762
1308550,SO,2015-12-24,-4.487725307890815,1.7930819124649642,60.6
1308552,SO,2015-12-26,-5.034137467181567,2.1109884794366165,34.0
1308946,SO,2017-01-23,-4.804966597273721,3.0435156594911383,54.29411764705882
1309204,SO,2017-10-08,-5.692656858949388,1.7347620630851512,153.47058823529414
1309437,SO,2018-05-29,-4.656397488811785,2.319184302958416,61.29411764705882
1310029,SO,2020-01-11,-5.72341788381464,1.18574162508644,51.6875
1310030,SO,2020-01-12,-6.814816382970758,1.3195991864869592,129.86666666666667
949230,MDT,2013-09-06,-6.570251280851477,1.3759147998558692,31.2
1004526,MSI,2016-10-17,-4.670460841394697,4.180219501543971,73.70588235294117
1005210,MSI,2018-09-01,-4.805131987066779,3.181991430898893,31.75
1005739,MSI,2020-02-12,-3.1897963628825754,2.016320734911468,70.8125
1005740,MSI,2020-02-13,-3.5111913727523016,2.283084808676354,53.75
1241925,ROK,2017-02-25,-3.8575278974438447,2.398610901119292,35.4
366388,COST,2013-09-18,-3.935465866322458,2.0387560504721574,46.470588235294116
366389,COST,2013-09-19,-5.038251386680148,1.8917399841610765,67.0625
366710,COST,2014-08-06,-3.3290715227366623,1.9862282413376289,65.93333333333334
368187,COST,2018-08-22,-3.845832393526029,2.159927858262209,95.23529411764706
368485,COST,2019-06-16,-4.4152492873393445,2.1192451040122524,74.47058823529412
368486,COST,2019-06-17,-4.083605110819319,2.572627603134259,96.41176470588236
368488,COST,2019-06-19,-3.4266518289268766,3.9898570323574334,46.411764705882355
368512,COST,2019-07-13,-4.521891657193208,0.984630098213526,244.73333333333332
250943,C,2015-05-21,-2.993876154347604,2.793586424178752,129.47058823529414
252583,C,2019-11-16,1.7329798330768884,1.5383016267128429,37.8125
252705,C,2020-03-17,-3.0563880950196425,2.249522266400956,42.70588235294117
1418558,TSRO,2013-07-18,-4.552677635152318,2.289085940546655,41.6875
1418944,TSRO,2014-08-08,-4.522184923026085,1.9807006521800208,75.375
1209314,RCL,2019-08-30,-4.4844350803369295,1.7592095999992499,225.125
1209420,RCL,2019-12-14,-4.420003877889268,1.3959810548281086,44.46666666666667
310644,CHK,2016-06-08,-4.993406952234956,2.1397014364493816,138.70588235294122
1416041,TSN,2013-09-18,-6.108974005455787,2.337683550928793,30.285714285714285
1416159,TSN,2014-01-14,-5.419833049176995,1.4488872443662362,49.36363636363637
1417164,TSN,2016-10-15,-5.754708636426302,1.7483012468987968,170.6875
942012,MCO,2015-02-07,-4.627232676155528,1.337392343967294,39.875
942452,MCO,2016-04-22,0.3802277757888604,2.823355870433392,280.58823529411757
942892,MCO,2017-07-06,-4.3049941767706565,2.589354875223376,118.76470588235294
942953,MCO,2017-09-05,-4.722563139392038,2.9823016588652402,106.47058823529413
943180,MCO,2018-04-20,-4.361025632170988,3.1173082100938294,176.7647058823529
943300,MCO,2018-08-18,-4.4196781148958095,3.636110222241464,36.8235294117647
943695,MCO,2019-09-17,-4.467444332593959,2.6341065454666484,108.82352941176471
943748,MCO,2019-11-09,-4.2405622371968565,3.3901421278635246,48.88235294117647
943879,MCO,2020-03-19,-4.281218578829593,2.5466492132924774,61.941176470588225
943886,MCO,2020-03-26,-4.331671055909801,2.6283327136504258,122.29411764705885
1138678,PEG,2016-11-30,-3.7455013080634014,2.6873716527371028,56.29411764705882
780965,IR,2019-01-07,-5.702597766699292,1.8277934736315045,160.83333333333334
781144,IR,2019-07-05,-5.871506443484126,3.1952399116852668,54.1
781156,IR,2019-07-17,-5.482386963563651,2.8260639308696165,30.41666666666667
559087,F,2018-10-15,-3.5422609710581945,1.7327634256261415,187.0
559144,F,2018-12-11,-3.1303553035186087,2.5401813356406366,56.25
559167,F,2019-01-03,-3.0855320648354976,1.6756872941998209,74.33333333333333
559315,F,2019-05-31,-3.1231661840529448,1.5701120985990369,40.52941176470589
559594,F,2020-03-05,-3.0364664890012962,1.9006752497912056,32.5625
559608,F,2020-03-19,-3.296475288760169,2.023774515021296,106.41176470588236
559609,F,2020-03-20,-3.5541609211196903,1.939307763903499,56.88235294117647
